lp 	rok 	km 	zwycięzca 	kraj 	2. miejsce 	kraj 	3. miejsce 	kraj 	raport
38 	1951 	4.690 	Hugo Koblet 	 Szwajcaria 	Raphaël Geminiani 	 Francja 	Lucien Lazarides 	 Francja 	
37 	1950 	4.773 	Ferdi Kübler 	 Szwajcaria 	Stan Ockers 	 Belgia 	Louison Bobet 	 Francja 	
36 	1949 	4.808 	Fausto Coppi 	 Włochy 	Gino Bartali 	 Włochy 	Jacques Marinelli 	 Francja 	
35 	1948 	4.922 	Gino Bartali 	 Włochy 	Brik Schotte 	 Belgia 	Guy Lapebie 	 Francja 	
34 	1947 	4.640 	Jean Robic 	 Francja 	Edouard Fachleitner 	 Francja 	Pierre Brambilla 	 Włochy 	
33 	1939 	4.224 	Sylvère Maes 	 Belgia 	René Vietto 	 Francja 	Lucien Vlaemynck 	 Belgia 	
32 	1938 	4.687 	Gino Bartali 	 Włochy 	Félicien Vervaecke 	 Belgia 	Victor Cosson 	 Francja 	
31 	1937 	4.415 	Roger Lapébie 	 Francja 	Mario Vicini 	 Włochy 	Leo Amberg 	 Szwajcaria 	
30 	1936 	4.418 	Sylvère Maes 	 Belgia 	Antonin Magne 	 Francja 	Félicien Vervaecke 	 Belgia 	
29 	1935 	4.338 	Romain Maes 	 Belgia 	Ambrogio Morelli 	 Włochy 	Félicien Vervaecke 	 Belgia 	
28 	1934 	4.470 	Antonin Magne 	 Francja 	Giuseppe Martano 	 Włochy 	Roger Lapébie 	 Francja 	
27 	1933 	4.395 	Georges Speicher 	 Francja 	Learco Guerra 	 Włochy 	Giuseppe Martano 	 Włochy 	
26 	1932 	4.479 	André Leducq 	 Francja 	Kurt Stoepel 	 Niemcy 	Francesco Camusso 	 Włochy 	
25 	1931 	5.091 	Antonin Magne 	 Francja 	Jef Demuysere 	 Belgia 	Antonio Pesenti 	 Włochy 	
24 	1930 	4.822 	André Leducq 	 Francja 	Learco Guerra 	 Włochy 	Antonin Magne 	 Francja 	
23 	1929 	5.257 	Maurice Dewaele 	 Belgia 	Giuseppe Pancera 	 Włochy 	Jef Demuysere 	 Belgia 	
22 	1928 	5.476 	Nicolas Frantz 	 Luksemburg 	André Leducq 	 Francja 	Maurice Dewaele 	 Belgia 	
21 	1927 	5.340 	Nicolas Frantz 	 Luksemburg 	Maurice Dewaele 	 Belgia 	Lucien Vervaecke 	 Belgia 	
20 	1926 	5.745 	Lucien Buysse 	 Belgia 	Nicolas Frantz 	 Luksemburg 	Bartolomeo Aimo 	 Włochy 	
19 	1925 	5.440 	Ottavio Bottecchia 	 Włochy 	Lucien Buysse 	 Belgia 	Bartolomeo Aimo 	 Włochy 	
18 	1924 	5.425 	Ottavio Bottecchia 	 Włochy 	Nicolas Frantz 	 Luksemburg 	Lucien Buysse 	 Belgia 	
17 	1923 	5.386 	Henri Pélissier 	 Francja 	Ottavio Bottecchia 	 Włochy 	Romain Bellenger 	 Francja 	
16 	1922 	5.375 	Firmin Lambot 	 Belgia 	Jean Alavoine 	 Francja 	Félix Seller 	 Belgia 	
15 	1921 	5.485 	Léon Scieur 	 Belgia 	Hector Heusghem 	 Belgia 	Honoré Barthelemy 	 Francja 	
14 	1920 	5.503 	Philippe Thys 	 Belgia 	Hector Heusghem 	 Belgia 	Firmin Lambot 	 Belgia 	
13 	1919 	5.560 	Firmin Lambot 	 Belgia 	Jean Alavoine 	 Francja 	Eugene Christophe 	 Francja 	
12 	1914 	5.380 	Philippe Thys 	 Belgia 	Henri Pélissier 	 Francja 	Jean Alavoine 	 Francja 	
11 	1913 	5.287 	Philippe Thys 	 Belgia 	Gustave Garrigou 	 Francja 	Marcel Buysse 	 Belgia 	
10 	1912 	5.289 	Odile Defraye 	 Belgia 	Eugene Christophe 	 Francja 	Gustave Garrigou 	 Francja 	
09 	1911 	5.343 	Gustave Garrigou 	 Francja 	Paul Duboc 	 Francja 	Emile Georget 	 Francja 	
08 	1910 	4.734 	Octave Lapize 	 Francja 	François Faber 	 Luksemburg 	Gustave Garrigou 	 Francja 	
07 	1909 	4.497 	François Faber 	 Luksemburg 	Gustave Garrigou 	 Francja 	Jean Alavoine 	 Francja 	
06 	1908 	4.488 	Lucien Petit-Breton 	 Francja 	François Faber 	 Luksemburg 	Georges Passerieu 	 Francja 	
05 	1907 	4.488 	Lucien Petit-Breton 	 Francja 	Gustave Garrigou 	 Francja 	Emile Georget 	 Francja 	
04 	1906 	4.545 	René Pottier 	 Francja 	Georges Passerieu 	 Francja 	Louis Trousselier 	 Francja 	
03 	1905 	2.994 	Louis Trousselier 	 Francja 	Hyppolite Aucouturier 	 Francja 	Jean-Baptiste Dortignacq 	 Francja 	
02 	1904 	2.428 	Henri Cornet 	 Francja 	Jean-Baptiste Dortignacq 	 Francja 	Alois Catteau 	 Belgia 	
01 	1903 	2.428 	Maurice Garin 	 Francja 	Lucien Pothier 	 Francja 	Fernand Augereau 	 Francja 	
